Generic Name,Brand Name,Can Crush?,Category,Notes / Source
Acarbose,Prandase / Acros / Acarbose 50mg/100mg,Yes,ALLOWED,"Immediate-release tablet. Can be crushed or chewed with the first bite of a meal. (Micromedex)"
Acetazolamide,Diamox / Uramox 250mg/500mg,Yes,ALLOWED,"Immediate-release tablet can be crushed. Extended-release capsules should NOT be crushed. (Micromedex)"
Acetylsalicylic Acid,Aspirin / Micropirin / Cartia / Godamed 75mg/100mg/300mg/500mg,Depends,ENTERIC_COATED,"Plain/Soluble Aspirin can be crushed. Enteric-coated forms (Cartia/Micropirin EC) MUST NOT be crushed. (Micromedex)"
Aciclovir,Zovirax / Supra-Vir 200mg/400mg/800mg,Yes,ALLOWED,"Immediate-release tablet. Can be crushed. (Micromedex)"
Acitretin,Neotigason 10mg/25mg,No,FORBIDDEN_CRITICAL,"Teratogenic retinoid capsule. Do not open or crush. Occupational exposure risk. (Micromedex)"
Alendronate,Fosalan / Binosto 10mg/70mg,No,FORBIDDEN_CRITICAL,"Severe esophageal ulceration risk. Must be swallowed whole with full glass of water while upright. (Micromedex)"
Alfacalcidol,Alpha D3 0.25mcg/1mcg,Yes,ALLOWED,"Soft gel capsules or tablets. Liquid inside capsule can be swallowed; tablets can be crushed. (Micromedex)"
Alfuzosin,Xatral / Xatral XL 2.5mg/5mg/10mg,No (XL),FORBIDDEN_CRITICAL,"Extended-release (XL/SR) tablets must be swallowed whole. Plain 2.5mg can be crushed. (Micromedex)"
Allopurinol,Zylol / Alloril / Zyloric 100mg/300mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. Take with plenty of fluids. (Micromedex)"
Alprazolam,Xanax / Xanagis / Alprox / Alpralid 0.25mg/0.5mg/1mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. Extended-release (XR) MUST NOT be crushed. (Micromedex)"
Amantadine,Symmetrel / PK-Merz / Paritrel 100mg,Yes,ALLOWED,"Immediate-release capsule/tablet. Capsules can be opened, tablets crushed. (Micromedex)"
Amiodarone,Procor / Amiodacore 200mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. Extremely bitter taste. (Micromedex)"
Amitriptyline,Elatrol / Elatrolet 10mg/25mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed. (Micromedex)"
Amlodipine,Norvasc / Amlow 5mg/10mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Amoxicillin,Moxipen 250mg/500mg,Yes,ALLOWED,"Immediate-release capsule/tablet. Capsules can be opened, tablets crushed. (Micromedex)"
Amoxicillin + Clavulanic Acid,Augmentin / Amoxiclav 250mg/500mg/875mg,Yes,ALLOWED,"Immediate-release tablet. Can be crushed or split immediately before administration. (Micromedex)"
Anastrozole,Arimidex / Anastrol 1mg,No,FORBIDDEN_CRITICAL,"Oncology hazardous drug. Do not crush due to occupational exposure risk. (Micromedex)"
Apixaban,Eliquis 2.5mg/5mg,Yes,ALLOWED,"Immediate-release tablet. Can be crushed and mixed with water/dextrose/applesauce immediately before administration. (Micromedex / Open Evidence)"
Aripiprazole,Ariply / Abilify 2.5mg/5mg/10mg/15mg,Yes,ALLOWED,"Immediate-release tablet. Can be crushed. (Micromedex)"
Atenolol,Normiten / Normalol 25mg/50mg/100mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Atorvastatin,Lipitor / Litorva / Torva 10mg/20mg/40mg/80mg,Yes,ALLOWED,"Immediate-release film-coated tablet. Can be crushed. (Micromedex)"
Atorvastatin + Ezetimibe,Atozet 10/10mg 10/20mg 10/40mg 10/80mg,Yes,ALLOWED,"Immediate-release tablet. Can be crushed. (Micromedex)"
Azathioprine,Imuran 25mg/50mg,No,FORBIDDEN_CRITICAL,"Cytotoxic/immunosuppressive drug. Avoid crushing due to occupational hazard. (Micromedex)"
Azithromycin,Zeto / Zithromax / Azenil 250mg/500mg,Yes,ALLOWED,"Immediate-release tablet/capsule. Can be crushed or opened. Extended-release suspension forms differ. (Micromedex)"
Baclofen,Lioresal / Baclosal 10mg/25mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Benazepril,Cibacen 5mg/10mg/20mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Betahistine,Agiserc / Betistine 16mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Bisacodyl,Laxadin / Atzirut X 5mg,No,ENTERIC_COATED,"Enteric-coated tablet. Do not crush or chew. Crushing causes severe gastric irritation. (Micromedex)"
Bisoprolol,Cardiloc / Concor 1.25mg/2.5mg/5mg/10mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Brotizolam,Bondormin 0.25mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Bupropion,Zyban / Wellbutrin XR 150mg/300mg,No,FORBIDDEN_CRITICAL,"Extended-release (SR/XL) formulation. Do not crush. High risk of seizures if modified. (Micromedex)"
Buspirone,Sorbon 5mg/10mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Cabergoline,Dostinex / Cabotrim / Cabaser 0.5mg/1mg/2mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Candesartan,Atacand / Candor 8mg/16mg/32mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Captopril,Capoten / Aceril / Captopril 12.5mg/25mg/50mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Carbamazepine,Tegretol / Teril 200mg/300mg/400mg,No (CR),FORBIDDEN_CRITICAL,"Controlled-release (CR/Retard) forms MUST NOT be crushed. Plain immediate-release tablets can be crushed. (Micromedex)"
Carbidopa + Levodopa,Sinemet / Docar / Dopicar 25/100mg 25/250mg,Yes (IR),ALLOWED,"Immediate-release tablets can be crushed. Controlled-release (Sinemet CR) MUST NOT be crushed. (Micromedex)"
Carvedilol,Dimitone 6.25mg/12.5mg/25mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Cefuroxime,Zinnat / Ceroxim / Cefurax 125mg/250mg/500mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed, but has an extremely bitter taste. (Micromedex)"
Celecoxib,Celebra / Celcox 100mg/200mg,Yes,ALLOWED,"Capsules can be opened and contents sprinkled on applesauce. Do not chew granules. (Micromedex)"
Cetirizine,Zyllergy / Histazine 10mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Cilazapril,Vascace / Cilaril 1mg/2.5mg/5mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Ciprofloxacin,Ciproxin / Ciprodex / Ciprogis 250mg/500mg/750mg,Yes,ALLOWED,"Immediate-release film-coated tablet can be crushed. Avoid mixing with calcium-fortified enteral feeds. (Micromedex)"
